title,clubName,location,date,lateRegTime,buyIn,guarantee,startingStack,blindDuration,clubLogo,durationDays,isFeatured,hasOverlayWarning,createdAt,updatedAt,id,_createTime,_updateTime,clockUrl,customBgColor,isHot,promotionLevel,pinnedDays,hasLivestream,promoInfo
RPT RELAX EVENT (25% ITM),Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-15T14:30:00.000Z,2026-06-15T14:30:00.000Z,"1,800,000",15M,"40,000",20/15,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:26:10.635Z,2026-05-15T08:26:10.635Z,04gco7nxb,2026-05-15T08:26:10.649325Z,2026-05-15T08:26:10.649325Z,,,,,,,
RPT TIGER CUP - DAY 1C - 12.5% ITM,Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-09T03:30:00.000Z,2026-06-09T03:30:00.000Z,"22,000,000",5B,"40,000",35/30,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:26:03.525Z,2026-05-15T08:26:03.525Z,052z1sdk6,2026-05-15T08:26:03.535980Z,2026-05-15T08:26:03.535980Z,,,,,,,
SUPER DEEPSTACK,Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-08T04:30:00.000Z,2026-06-08T11:30:00.000Z,"11,000,000",1B,"50,000",35/30,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:25:35.803Z,2026-05-15T08:25:35.803Z,06numl1ex,2026-05-15T08:25:35.813050Z,2026-05-15T08:25:35.813050Z,,,,,,,
RPT RELAX EVENT (25% ITM),Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-09T14:30:00.000Z,2026-06-09T14:30:00.000Z,"1,800,000",15M,"40,000",20/15,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:26:04.318Z,2026-05-15T08:26:04.318Z,06w2p3ydc,2026-05-15T08:26:04.328939Z,2026-05-15T08:26:04.328939Z,,,,,,,
R - MINI DEEPSTACK 2M3 (25% ITM) (8-MAX),Royal Poker Club,"195 Kham Thien, Dong Da, Ha Noi ",2026-05-26T10:30:00.000Z,2026-05-26T14:35:00.000Z,2.3M,30E,50K,25'-20',https://i.ibb.co/VWmWSTbm/e60e4bbd45f7.jpg,1,False,False,2026-05-24T16:59:57.816Z,2026-05-24T16:59:57.816Z,08iy2uhtl,2026-05-24T16:59:57.826692Z,2026-05-24T16:59:57.826692Z,,,,,,,
RPT RELAX EVENT (25% ITM),Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-16T14:30:00.000Z,2026-06-16T14:30:00.000Z,"1,800,000",15M,"40,000",20/15,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:26:11.492Z,2026-05-15T08:26:11.492Z,0dwk9zh6n,2026-05-15T08:26:11.505791Z,2026-05-15T08:26:11.505791Z,,,,,,,
#55 MINI HIGH ROLLER,USOP Halong 2026,"InterContinental Halong,  Marina Urban Area, Bãi Cháy, Quảng Ninh",2026-05-27T11:00:00.000Z,2026-05-27T14:40:00.000Z,20M + 2M,-,100K,25',https://userieschampionship.com/wp-content/uploads/2024/04/Usop_Logo.png,1,False,False,2026-05-17T18:06:37.041Z,2026-05-17T18:06:37.041Z,0fhxm7e3a,2026-05-17T18:06:37.050142Z,2026-05-17T18:06:37.050142Z,,,,,,,
SATELLITE FOR CTP MULTIDAY,Center Point Poker Club,"5th Floor - Center Point Shopping Mall, 27 Le Van Luong Street, Thanh Xuan Ward, Hanoi",2026-05-26T03:00:00.000Z,2026-05-26T04:30:00.000Z,360K,4 TICKETS,8K,12',https://i.ibb.co/8LDHhLKj/0a0c4a187065.jpg,1,False,False,2026-05-24T16:58:57.361Z,2026-05-24T16:58:57.361Z,0hyk8729b,2026-05-24T16:58:57.369150Z,2026-05-24T16:58:57.369150Z,,,,,,,
SATELLITE TO RPT TIGER CUP - 1 IN 10,Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-08T03:00:00.000Z,2026-06-08T04:34:00.000Z,"2,500,000",2 SEATS,"8,000",12/10,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:25:35.388Z,2026-05-15T08:25:35.388Z,0k8u37itk,2026-05-15T08:25:35.398223Z,2026-05-15T08:25:35.398223Z,,,,,,,
Trò chơi DEEPSTACK 2,Saigon Poker Room,"280 Nam Ky Khoi Nghia Street, Xuan Hoa Ward, Ho Chi Minh City",2026-05-27T03:30:00.000Z,2026-05-27T08:00:00.000Z,2.8M,200M,25K,25',https://i.ibb.co/1YLLwDm1/91b1274f7673.jpg,1,False,False,2026-05-24T17:00:18.348Z,2026-05-27T04:35:31.267Z,0l4aw91l0,2026-05-24T17:00:18.366447Z,2026-05-27T04:35:31.302982Z,https://www.facebook.com/61585970653369/videos/1788279428820743,,,,,,
CENTER-P MULTIDAY DAY 1B,Center Point Poker Club,"5th Floor - Center Point Shopping Mall, 27 Le Van Luong Street, Thanh Xuan Ward, Hanoi",2026-05-26T03:30:00.000Z,2026-05-26T10:00:00.000Z,2.3M,500e,30K,30'-27',https://i.ibb.co/8LDHhLKj/0a0c4a187065.jpg,1,False,False,2026-05-24T16:58:57.451Z,2026-05-26T04:36:33.326Z,0ozpg5o7s,2026-05-24T16:58:57.461208Z,2026-05-26T04:36:33.356833Z,https://web.facebook.com/xam.ph.wa.wira.sakdi.xrun/videos/2450706372021138,,,,,,
HEAVEN ATHENA,Heaven Poker Club,"7th Floor, IP3 Building, Imperial Plaza 360 Giai Phong Street, Phuong Liet Ward, Hanoi",2026-05-28T03:30:00.000Z,2026-05-28T08:30:00.000Z,720k,120 (Entries),50K,30'-22',https://i.ibb.co/pj7Mnrxk/9c8aa56e97cd.jpg,1,False,False,2026-05-24T16:59:18.833Z,2026-05-28T04:53:22.589Z,0pqjf9msk,2026-05-24T16:59:18.842566Z,2026-05-28T04:53:22.633396Z,https://www.facebook.com/HeavenPokerClub/videos/978038498190423,,,,,,
RPT HAPPY NIGHT (25% ITM),Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-14T16:30:00.000Z,2026-06-14T16:30:00.000Z,"2,300,000",12M,"40,000",15/10,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:26:09.878Z,2026-05-15T08:26:09.878Z,0r4io1r7e,2026-05-15T08:26:09.906717Z,2026-05-15T08:26:09.906717Z,,,,,,,
Trò chơi DEEPSTACK 2,Saigon Poker Room,"280 Nam Ky Khoi Nghia Street, Xuan Hoa Ward, Ho Chi Minh City",2026-05-30T04:00:00.000Z,2026-05-30T08:30:00.000Z,2.8M,200M,25K,25',https://i.ibb.co/1YLLwDm1/91b1274f7673.jpg,1,False,False,2026-05-24T17:00:20.512Z,2026-05-24T17:00:20.512Z,0s38kwpg3,2026-05-24T17:00:20.521795Z,2026-05-24T17:00:20.521795Z,,,,,,,
HEAVEN THUNDERBOLT VELOCITY,Heaven Poker Club,"7th Floor, IP3 Building, Imperial Plaza 360 Giai Phong Street, Phuong Liet Ward, Hanoi",2026-05-29T12:00:00.000Z,2026-05-29T15:20:00.000Z,360k,100 (Entries),15K,18'-15',https://i.ibb.co/pj7Mnrxk/9c8aa56e97cd.jpg,1,False,False,2026-05-24T16:59:19.483Z,2026-05-24T16:59:19.483Z,10dp1szfl,2026-05-24T16:59:19.491127Z,2026-05-24T16:59:19.491127Z,,,,,,,
Trò chơi MINI MAIN EVENT DAY 1D (Turbo),Saigon Poker Room,"280 Nam Ky Khoi Nghia Street, Xuan Hoa Ward, Ho Chi Minh City",2026-05-30T09:00:00.000Z,2026-05-30T13:30:00.000Z,6.6M,2B,30K,25',https://i.ibb.co/1YLLwDm1/91b1274f7673.jpg,1,False,False,2026-05-24T17:00:20.600Z,2026-05-24T17:00:20.600Z,10tsuhc7o,2026-05-24T17:00:20.609567Z,2026-05-24T17:00:20.609567Z,,,,,,,
Deepstack Turbo,Quads Poker Club,"Tầng 2 - R6,  Royal City, 72A Nguyễn Trãi, Thanh Xuân, Hanoi ",2026-05-26T08:00:00.000Z,2026-05-26T12:45:00.000Z,960K,100E,30K,25'/20',https://i.ibb.co/dJVDqZSD/7187759d4e2b.jpg,1,False,False,2026-05-24T16:59:39.249Z,2026-05-24T16:59:39.249Z,14df72od3,2026-05-24T16:59:39.258970Z,2026-05-24T16:59:39.258970Z,,,,,,,
#47 MIDWEEK DEEPSTACK SPECIAL,USOP Halong 2026,"InterContinental Halong,  Marina Urban Area, Bãi Cháy, Quảng Ninh",2026-05-26T08:00:00.000Z,2026-05-26T11:00:00.000Z,6.05M + 950K,-,20K,20',https://userieschampionship.com/wp-content/uploads/2024/04/Usop_Logo.png,1,False,False,2026-05-17T18:06:36.157Z,2026-05-17T18:06:36.157Z,14w2sxzbl,2026-05-17T18:06:36.167047Z,2026-05-17T18:06:36.167047Z,,,,,,,
CENTER - P FAST AND FURIOUS,Center Point Poker Club,"5th Floor - Center Point Shopping Mall, 27 Le Van Luong Street, Thanh Xuan Ward, Hanoi",2026-05-28T11:30:00.000Z,2026-05-28T14:50:00.000Z,720K,100e,18K,18'-15',https://i.ibb.co/8LDHhLKj/0a0c4a187065.jpg,1,False,False,2026-05-24T16:58:59.432Z,2026-05-24T16:58:59.432Z,15m1m2ctr,2026-05-24T16:58:59.443135Z,2026-05-24T16:58:59.443135Z,,,,,,,
RPT HAPPY NIGHT (25% ITM),Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-16T16:30:00.000Z,2026-06-16T16:30:00.000Z,"2,300,000",12M,"40,000",15/10,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:26:11.597Z,2026-05-15T08:26:11.597Z,170g78c8m,2026-05-15T08:26:11.621840Z,2026-05-15T08:26:11.621840Z,,,,,,,
SATELLITE TO RPT CHAMPIONSHIP,Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-13T13:00:00.000Z,2026-06-13T13:00:00.000Z,"4,300,000",1 SEAT,"8,000",12/10,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:26:08.523Z,2026-05-15T08:26:08.523Z,18fu0dmrg,2026-05-15T08:26:08.534439Z,2026-05-15T08:26:08.534439Z,,,,,,,
RPT OPENER EVENT - DAY 1B (BONUS 15M FOR CHIP LEADER) - 15% ITM,Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-03T09:30:00.000Z,2026-06-03T15:35:00.000Z,"6,600,000",5B,"30,000",30/25,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:25:29.614Z,2026-05-15T08:25:29.614Z,18ky5lm5j,2026-05-15T08:25:29.654460Z,2026-05-15T08:25:29.654460Z,,,,,,,
SATELLITE TO RPT CHAMPIONSHIP,Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-14T13:00:00.000Z,2026-06-14T13:00:00.000Z,"4,300,000",1 SEAT,"8,000",12/10,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:26:09.609Z,2026-05-15T08:26:09.609Z,1caenvjpg,2026-05-15T08:26:09.623839Z,2026-05-15T08:26:09.623839Z,,,,,,,
SATELLITE FOR MAIN EVENT 4.5,Center Point Poker Club,"5th Floor - Center Point Shopping Mall, 27 Le Van Luong Street, Thanh Xuan Ward, Hanoi",2026-05-28T03:30:00.000Z,2026-05-28T05:00:00.000Z,650K,4 TICKETS,8K,12',https://i.ibb.co/8LDHhLKj/0a0c4a187065.jpg,1,False,False,2026-05-24T16:58:58.893Z,2026-05-24T16:58:58.893Z,1kya69uyn,2026-05-24T16:58:58.901621Z,2026-05-24T16:58:58.901621Z,,,,,,,
Trò chơi MONSTER STACK (8-max) LIVE,Saigon Poker Room,"280 Nam Ky Khoi Nghia Street, Xuan Hoa Ward, Ho Chi Minh City",2026-05-31T04:00:00.000Z,2026-05-31T09:50:00.000Z,6.6M,300M,40K,30'-28',https://i.ibb.co/1YLLwDm1/91b1274f7673.jpg,1,False,False,2026-05-24T17:00:21.157Z,2026-05-24T17:00:21.157Z,1l9kvf5c7,2026-05-24T17:00:21.168833Z,2026-05-24T17:00:21.168833Z,,,,,,,
#68 SUPER HYPER TURBO,USOP Halong 2026,"InterContinental Halong,  Marina Urban Area, Bãi Cháy, Quảng Ninh",2026-05-29T14:30:00.000Z,2026-05-29T15:50:00.000Z,3M + 400K,-,12K,10',https://userieschampionship.com/wp-content/uploads/2024/04/Usop_Logo.png,1,False,False,2026-05-17T18:06:38.492Z,2026-05-17T18:06:38.492Z,1u2twqzi5,2026-05-17T18:06:38.501729Z,2026-05-17T18:06:38.501729Z,,,,,,,
#8 MINI HIGH ROLLER,USOP Halong 2026,"InterContinental Halong,  Marina Urban Area, Bãi Cháy, Quảng Ninh",2026-05-20T11:00:00.000Z,2026-05-20T14:40:00.000Z,20M + 2M,500M,100K,25',https://userieschampionship.com/wp-content/uploads/2024/04/Usop_Logo.png,1,False,False,2026-05-17T18:06:31.869Z,2026-05-17T18:06:31.869Z,1vmqlchbc,2026-05-17T18:06:31.878593Z,2026-05-17T18:06:31.878593Z,,,,,,,
#72 WIN THE BUTTON HYPER TURBO,USOP Halong 2026,"InterContinental Halong,  Marina Urban Area, Bãi Cháy, Quảng Ninh",2026-05-30T14:30:00.000Z,2026-05-30T15:34:00.000Z,3M + 400K,-,15K,12',https://userieschampionship.com/wp-content/uploads/2024/04/Usop_Logo.png,1,False,False,2026-05-17T18:06:39.032Z,2026-05-17T18:06:39.032Z,1xb3vvsag,2026-05-17T18:06:39.045393Z,2026-05-17T18:06:39.045393Z,,,,,,,
R - MINI DEEPSTACK 2M3 (25% ITM) (8-MAX),Royal Poker Club,"195 Kham Thien, Dong Da, Ha Noi ",2026-05-28T10:30:00.000Z,2026-05-28T14:35:00.000Z,2.3M,30E,50K,25'-20',https://i.ibb.co/VWmWSTbm/e60e4bbd45f7.jpg,1,False,False,2026-05-24T16:59:59.358Z,2026-05-24T16:59:59.358Z,1zvqxb3pq,2026-05-24T16:59:59.368841Z,2026-05-24T16:59:59.368841Z,,,,,,,
R - MINI DEEPSTACK 2M3 (25% ITM) (8-MAX),Royal Poker Club,"195 Kham Thien, Dong Da, Ha Noi ",2026-05-25T10:30:00.000Z,2026-05-25T14:35:00.000Z,2.3M,30E,50K,25'-20',https://i.ibb.co/VWmWSTbm/e60e4bbd45f7.jpg,1,False,False,2026-05-24T16:59:57.067Z,2026-05-24T16:59:57.067Z,1zwhrcofq,2026-05-24T16:59:57.077892Z,2026-05-24T16:59:57.077892Z,,,,,,,
RPT BILLIONAIRE MAKER,Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-05T04:30:00.000Z,2026-06-05T11:30:00.000Z,"5,500,000",500M,"40,000",35/30,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:25:32.069Z,2026-05-15T08:25:32.069Z,267imlfd6,2026-05-15T08:25:32.090066Z,2026-05-15T08:25:32.090066Z,,,,,,,
#80 MID DAY LAST CHANCE,USOP Halong 2026,"InterContinental Halong,  Marina Urban Area, Bãi Cháy, Quảng Ninh",2026-06-01T09:00:00.000Z,2026-06-01T12:00:00.000Z,6.25M + 750K,-,20K,20',https://userieschampionship.com/wp-content/uploads/2024/04/Usop_Logo.png,1,False,False,2026-05-17T18:06:40.010Z,2026-05-17T18:06:40.010Z,26d1iegvm,2026-05-17T18:06:40.020465Z,2026-05-17T18:06:40.020465Z,,,,,,,
R - RELAX 1M8 (25% ITM) (8-MAX),Royal Poker Club,"195 Kham Thien, Dong Da, Ha Noi ",2026-05-25T14:30:00.000Z,2026-05-25T16:45:00.000Z,1.8M,10E,40K,20'-15',https://i.ibb.co/VWmWSTbm/e60e4bbd45f7.jpg,1,False,False,2026-05-24T16:59:57.166Z,2026-05-24T16:59:57.166Z,2c5ov24v9,2026-05-24T16:59:57.174952Z,2026-05-24T16:59:57.174952Z,,,,,,,
RPT RELAX EVENT (25% ITM),Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-06T14:30:00.000Z,2026-06-06T16:35:00.000Z,"1,800,000",15M,"40,000",20/15,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:25:34.045Z,2026-05-15T08:25:34.045Z,2ccwssohx,2026-05-15T08:25:34.054496Z,2026-05-15T08:25:34.054496Z,,,,,,,
RPT MINI DEEPSTACK (25% ITM),Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-09T10:00:00.000Z,2026-06-09T10:00:00.000Z,"4,500,000",120M,"40,000",25/20,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:26:03.921Z,2026-05-15T08:26:03.921Z,2cu0svexo,2026-05-15T08:26:03.933974Z,2026-05-15T08:26:03.933974Z,,,,,,,
Trò chơi MINI MAIN EVENT DAY 1C (8-max),Saigon Poker Room,"280 Nam Ky Khoi Nghia Street, Xuan Hoa Ward, Ho Chi Minh City",2026-05-30T03:30:00.000Z,2026-05-30T10:00:00.000Z,6.6M,2B,30K,30'-25',https://i.ibb.co/1YLLwDm1/91b1274f7673.jpg,1,False,False,2026-05-24T17:00:20.415Z,2026-05-24T17:00:20.415Z,2cw39rfmd,2026-05-24T17:00:20.427427Z,2026-05-24T17:00:20.427427Z,,,,,,,
#32 BILLIONAIRE CLUB CHALLENGE DAY 1,USOP Halong 2026,"InterContinental Halong,  Marina Urban Area, Bãi Cháy, Quảng Ninh",2026-05-24T04:30:00.000Z,2026-05-24T13:00:00.000Z,150M + 15M,-,250K,40',https://userieschampionship.com/wp-content/uploads/2024/04/Usop_Logo.png,1,False,False,2026-05-17T18:06:34.494Z,2026-05-17T18:06:34.494Z,2dcbbb24z,2026-05-17T18:06:34.501876Z,2026-05-17T18:06:34.501876Z,,,,,,,
Trò chơi RELAX,Saigon Poker Room,"280 Nam Ky Khoi Nghia Street, Xuan Hoa Ward, Ho Chi Minh City",2026-05-27T13:00:00.000Z,2026-05-27T14:44:00.000Z,400K,10M,12K,12',https://i.ibb.co/1YLLwDm1/91b1274f7673.jpg,1,False,False,2026-05-24T17:00:18.763Z,2026-05-24T17:00:18.763Z,2ft4gvox3,2026-05-24T17:00:18.772444Z,2026-05-24T17:00:18.772444Z,,,,,,,
R - RELAX 1M8 (25% ITM) (8-MAX),Royal Poker Club,"195 Kham Thien, Dong Da, Ha Noi ",2026-05-30T14:30:00.000Z,2026-05-30T16:35:00.000Z,1.8M,10E,40K,20'-15',https://i.ibb.co/VWmWSTbm/e60e4bbd45f7.jpg,1,False,False,2026-05-24T17:00:00.961Z,2026-05-24T17:00:00.961Z,2gmdxp1xr,2026-05-24T17:00:00.970578Z,2026-05-24T17:00:00.970578Z,,,,,,,
#22 MINI HIGH ROLLER,USOP Halong 2026,"InterContinental Halong,  Marina Urban Area, Bãi Cháy, Quảng Ninh",2026-05-22T11:00:00.000Z,2026-05-22T14:40:00.000Z,20M + 2M,500M,100K,25',https://userieschampionship.com/wp-content/uploads/2024/04/Usop_Logo.png,1,False,False,2026-05-17T18:06:33.338Z,2026-05-17T18:06:33.338Z,2gpaai8xl,2026-05-17T18:06:33.347632Z,2026-05-17T18:06:33.347632Z,,,,,,,
SATELLITE TO RPT SUPER DEEPSTACK - 1 IN 10,Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-08T03:00:00.000Z,2026-06-08T04:34:00.000Z,"1,300,000",2 SEATS,"8,000",12/10,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:25:35.468Z,2026-05-15T08:25:35.468Z,2gxp98tel,2026-05-15T08:25:35.479217Z,2026-05-15T08:25:35.479217Z,,,,,,,
#19 MINI MAIN EVENT DAY 1C,USOP Halong 2026,"InterContinental Halong,  Marina Urban Area, Bãi Cháy, Quảng Ninh",2026-05-23T03:00:00.000Z,2026-05-23T09:00:00.000Z,17.9M + 2.1M,13B,35K,30',https://userieschampionship.com/wp-content/uploads/2024/04/Usop_Logo.png,1,False,False,2026-05-17T18:06:33.670Z,2026-05-23T04:38:50.095Z,2j1a793ky,2026-05-17T18:06:33.683404Z,2026-05-23T04:38:50.125177Z,https://www.facebook.com/GrandLoyal/videos/1472560197284847,,,,,,
#58 MAIN EVENT DAY 1A,USOP Halong 2026,"InterContinental Halong,  Marina Urban Area, Bãi Cháy, Quảng Ninh",2026-05-28T03:00:00.000Z,2026-05-28T10:50:00.000Z,26.85M + 3.15M,30B,40K,40',https://userieschampionship.com/wp-content/uploads/2024/04/Usop_Logo.png,1,False,False,2026-05-17T18:06:37.275Z,2026-05-28T04:48:36.722Z,2mduqnwkg,2026-05-17T18:06:37.291629Z,2026-05-28T04:48:36.763754Z,https://www.facebook.com/GrandLoyal/videos/1348696507104595,,,,,,
WEDNESDAY PRIME (PLAY TO FINAL),Quads Poker Club,"Tầng 2 - R6,  Royal City, 72A Nguyễn Trãi, Thanh Xuân, Hanoi ",2026-05-27T04:30:00.000Z,2026-05-27T11:30:00.000Z,5.5M,80E,50K,35'/30',https://i.ibb.co/dJVDqZSD/7187759d4e2b.jpg,1,False,False,2026-05-24T16:59:39.673Z,2026-05-27T04:38:33.337Z,2n7zkgghw,2026-05-24T16:59:39.682333Z,2026-05-27T04:38:33.397086Z,https://www.facebook.com/quads.hanoi/videos/2542903976169148,,,,,,
#62 MINI HIGH ROLLER,USOP Halong 2026,"InterContinental Halong,  Marina Urban Area, Bãi Cháy, Quảng Ninh",2026-05-28T12:00:00.000Z,2026-05-28T15:40:00.000Z,20M + 2M,500M,100K,25',https://userieschampionship.com/wp-content/uploads/2024/04/Usop_Logo.png,1,False,False,2026-05-17T18:06:37.756Z,2026-05-17T18:06:37.756Z,2np7hlm3a,2026-05-17T18:06:37.765660Z,2026-05-17T18:06:37.765660Z,,,,,,,
#26 HIGH ROLLER MEGASTACK DAY 2,USOP Halong 2026,"InterContinental Halong,  Marina Urban Area, Bãi Cháy, Quảng Ninh",2026-05-24T05:30:00.000Z,2026-05-24T05:30:00.000Z,-,1B,-,45',https://userieschampionship.com/wp-content/uploads/2024/04/Usop_Logo.png,1,False,False,2026-05-17T18:06:34.661Z,2026-05-17T18:06:34.661Z,2pk289m63,2026-05-17T18:06:34.675875Z,2026-05-17T18:06:34.675875Z,,,,,,,
Trò chơi TURBO 3,Saigon Poker Room,"280 Nam Ky Khoi Nghia Street, Xuan Hoa Ward, Ho Chi Minh City",2026-05-27T08:00:00.000Z,2026-05-27T11:30:00.000Z,1.2M,100M,20K,20'-15',https://i.ibb.co/1YLLwDm1/91b1274f7673.jpg,1,False,False,2026-05-24T17:00:18.557Z,2026-05-24T17:00:18.557Z,2w8ry7zow,2026-05-24T17:00:18.567837Z,2026-05-24T17:00:18.567837Z,,,,,,,
SATELLITE FOR CTP MULTIDAY,Center Point Poker Club,"5th Floor - Center Point Shopping Mall, 27 Le Van Luong Street, Thanh Xuan Ward, Hanoi",2026-05-27T03:00:00.000Z,2026-05-27T04:30:00.000Z,360K,4 TICKETS,8K,12',https://i.ibb.co/8LDHhLKj/0a0c4a187065.jpg,1,False,False,2026-05-24T16:58:58.226Z,2026-05-24T16:58:58.226Z,2yaiy8dw0,2026-05-24T16:58:58.249078Z,2026-05-24T16:58:58.249078Z,,,,,,,
RPT MINI HIGH ROLLER,Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-13T12:00:00.000Z,2026-06-13T12:00:00.000Z,"16,500,000",300M,"100,000",25/20,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:26:08.434Z,2026-05-15T08:26:08.434Z,2ynb3pawo,2026-05-15T08:26:08.450980Z,2026-05-15T08:26:08.450980Z,,,,,,,
RPT MINI HIGH ROLLER,Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-11T12:00:00.000Z,2026-06-11T12:00:00.000Z,"16,500,000",300M,"100,000",25/20,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:26:06.615Z,2026-05-15T08:26:06.615Z,3206fo5vn,2026-05-15T08:26:06.637623Z,2026-05-15T08:26:06.637623Z,,,,,,,
#12 SUPERSTACK,USOP Halong 2026,"InterContinental Halong,  Marina Urban Area, Bãi Cháy, Quảng Ninh",2026-05-21T03:00:00.000Z,2026-05-21T09:00:00.000Z,8.85M + 1.15M,1B,40K,30',https://userieschampionship.com/wp-content/uploads/2024/04/Usop_Logo.png,1,False,False,2026-05-17T18:06:32.270Z,2026-05-21T04:42:15.769Z,32d87b9gh,2026-05-17T18:06:32.279046Z,2026-05-21T04:42:15.790756Z,https://www.facebook.com/GrandLoyal/videos/1599112377832783,,,,,,
NO LIMIT HOLD'EM (8-MAX),Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-12T06:00:00.000Z,2026-06-12T06:00:00.000Z,"22,000,000",-,"50,000",30,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:26:07.216Z,2026-05-15T08:26:07.216Z,36kxtd0wz,2026-05-15T08:26:07.236129Z,2026-05-15T08:26:07.236129Z,,,,,,,
